English,Tulu
Get well soon,ಬೇಗ ಹುಷಾರಾಲೆ
I am feeling better,ಎಂಕ್ ಎಡ್ಡೆ ಆಪುಂಡು
I need fresh air,ಎಂಕ್ ತಾಜಾ ಗಾಳಿ ಬೋಡು
Dont work too much,ಜಾಸ್ತಿ ಬೇಲೆ ಮಲ್ಪುಜೆರ್
Relax a little,ಒಂತೆ ರಿಲಾಕ್ಸ್ ಆಲೆ
I feel lazy,ಎಂಕ್ ಸೋಮಾರಿ ಆಪುಂಡು
Everything will be fine,ಎಲ್ಲಾ ಸರಿ ಆಪುಂಡು
Lets share ideas,ಐಡಿಯಾಲೆನ್ ಪಾಡುಗ
I need more time,ಎಂಕ್ ಜಾಸ್ತಿ ಸಮಯ ಬೋಡು
I am almost done,ಎಂಕ್ ಬಹುತೇಕ ಮುಗಿಂಡ್
Turn on bluetooth,ಬ್ಲೂಟೂತ್ ನ್ ಆನ್ ಮಲ್ಪುಲೆ
Turn off bluetooth,ಬ್ಲೂಟೂತ್ ನ್ ಆಫ್ ಮಲ್ಪುಲೆ
Thats bad,ಅವು ಎಡ್ಡೆ ಅತ್ತ್
I learned something new,ಎಂಕ್ ಒಂಜಿ ಪೊಸತ್ ದಾದನಾ ಕಲ್ತೊಂದುಲ್ಲೆ
Lets work together,ಒಟ್ಟುಗು ಬೇಲೆ ಮಲ್ಪುಗ
Please expplain again,ದಯಮಲ್ತ್ ಪುನರ್ ವಿವರಣೆ ಕೊರ್ಲೆ
please repeat that,ದಯಮಲ್ತ್ ಅವೆನ್ ಪುನರಾವರ್ತಿಸಲೆ
I am late for class,ಎಂಕ್ ತರಗತಿಗ್ ತಡ ಆಂಡ್
I am preparing for test,ಯಾನ್ ಪರೀಕ್ಷೆಗ್ ತಯಾರಾವೊಂದುಲ್ಲೆ
I need to exercise,ಎಂಕ್ ವ್ಯಾಯಾಮ ಮಲ್ಪೊಡು
I am proud of you,ಎಂಕ್ ನಿಕ್ಲೆನ ಬಗ್ಗೆ ಹೆಮ್ಮೆ ಆಪುಂಡು
May be you are right,ಈರ್ ಸರಿ ಪನ್ಪರ್
This is dangerous,ಉಂದು ಅಪಾಯಕಾರಿ
someone is hurt,ಒರಿ ಗಾಯ ಆತ್ಂಡ್
I like it,ಎಂಕ್ ಇಷ್ಟ ಆಂಡ್
I dont like it,ಎಂಕ್ ಉಂದು ಇಷ್ಟ ಆಪುಜಿ
I am confident,ಎಂಕ್ ಆತ್ಮವಿಶ್ವಾಸ ಉಂಡು
I am proud of myself,ಎಂಕ್ ಎಂಕ್ಲೆನ ಮಿತ್ತ್ ಹೆಮ್ಮೆ ಉಂಡು
I am in love,ಯಾನ್ ಪ್ರೀತಿಡ್ ಉಲ್ಲೆ
I am sad toady,ಎಂಕ್ ಬೇಜಾರು ಆಂಡ್
I will take this,ಯಾನ್ ಉಂದೆನ್ ದೆತೊನುವೆ
Tell us your thoughts on this,ಈ ಬಗ್ಗೆ ನಿಕ್ಲೆನ ಅಭಿಪ್ರಾಯೊನು ಎಂಕ್ಲೆಗ್ ಪನ್ಲೆ
Dont let it break,ಉಂದೆನ್ ಮುರಿಯೆರೆ ಬುಡ್ಡಿಜ್ಜಿ
Your mind will be happy,ನಿನ್ನ ಮನಸ್ ಖುಷಿ ಆಪುಂಡು
India has lost both games so far,ಭಾರತ ಇತ್ತೆ ಮುಟ್ಟ ರಡ್ಡ್ ಪಂದ್ಯೊಲೆಡ್ಲಾ ಸೋತುಂಡು
She is very brave,ಆಲ್ ಮಸ್ತ್ ಧೈರ್ಯಶಾಲಿ
We will investigate and take action,ನಮ ತನಿಖೆ ಮಲ್ತ್ದ್ ಕ್ರಮ ದೆತೊನುವ
Girl dies of suspected dengue,ಡೆಂಗ್ಯೂ ಶಂಕೆಡ್ ಬಾಲೆ ಮರಣ
Play with children,ಜೋಕುಲೆನೊಟ್ಟುಗು ಗೊಬ್ಬುಲೆ
They should do good work,ಅಕುಲು ಎಡ್ಡೆ ಬೇಲೆ ಮಲ್ಪೊಡು
Do your own chores at home,ಇಲ್ಲಡ್ ನಿಗಲೆನ ಸ್ವಂತ್ ಬೇಲೆಲೆನ್ ಮಲ್ಪುಲೆ
You have to believe that,ಈರ್ ಅವೆನ್ ನಂಬೊಡು
They said they would fight,ಅಕುಲು ಜಗಳ ಮಲ್ಪುವೆ ಪಂಡೆರ್
He is also a director and singer,ಆರ್ ಒರಿ ನಿರ್ದೇಶಕೆರ್ ಬೊಕ್ಕ ಗಾಯಕೆರ್ಲಾ ಅಂದ್
We are ready for everything,ಎಂಕುಲು ಮಾತೆರೆಗ್ಲಾ ತಯಾರ್ ಉಲ್ಲ
They are using them,ಅಕುಲು ಅವೆನ್ ಬಳಕೆ ಮಲ್ತೊಂದುಲ್ಲೆರ್
Who will be the next chief minister,ದುಂಬುದ ಮುಖ್ಯಮಂತ್ರಿ ಯಾರ್ ಆಪೆರ್
I am missing them,ಯಾನ್ ಅವೆನ್ ಮಿಸ್ ಮಲ್ತೊಂದುಲ್ಲೆ
But all of that is not real,ಆಂಡ ಅವು ಮಾತ ನಿಜ ಅತ್ತ್
"This time too, the same is expected","ಈ ಸರ್ತಿಲಾ, ಅದೇ ನಿರೀಕ್ಷೆ ಉಂಡು"
It is not your money,ಉಂದು ನಿಕ್ಲೆನ ದುಡ್ಡು ಅತ್ತ್
Why have you done this,ಈರ್ ದಾಯೆಗ್ ಇಂಚ ಮಲ್ತರ್
They have no papers,ಅಕ್ಲೆಗ್ ಪೇಪರ್ ಇಜ್ಜಿ
Make your payment on time,ನಿಕ್ಲೆನ ಪಾವತಿನ್ ಸಮಯೊಗು ಮಲ್ಪುಲೆ
They never expected the Indian team to win,ಭಾರತೀಯ ತಂಡ ಗೆಂದುಂಡು ಪಂದ್ ಅಕುಲು ಏಪಲಾ ನಿರೀಕ್ಷೆ ಮಲ್ತೊಂದಿಜ್ಜೆರ್
No one is paying attention,ಏರ್ಲಾ ಗಮನ ಕೊರ್ಪುಜೆರ್
Interested people can join us,ಆಸಕ್ತಿ ಇತ್ತಿನಕುಲು ಎಂಕಲೆನೊಟ್ಟುಗು ಸೇರೊಲಿ
Looks terrifying,ಭಯಾನಕವಾದ್ ತೋಜುಂಡು
But thats exactly what it is,ಆಂಡ ಅಯಿನ್ ನಿಖರವಾದ್ ದಾದ ಪನ್ಪೆರ್
The doctors are saying she is recovering,ಆಲ್ ಗುಣ ಆವೊಂದುಂಡು ಪಂದ್ ಡಾಕ್ಟರ್ ನಕುಲು ಪನ್ಪೆರ್
Good times coming up,ಎಡ್ಡೆ ಸಮಯ ಬರೊಂದುಂಡು
All services are for free,ಮಾತಾ ಸೇವೆಲು ಉಚಿತ
His wife is at home,ಆಯನ ಬುಡೆದಿ ಇಲ್ಲಡ್ ಉಲ್ಲೆರ್
Theres no other way,ಬೇತೆ ದಾಲ ಇಜ್ಜಿ
Everyone was smiling,ಪ್ರತಿಯೊಬ್ಬಲಾ ನಗುತೊಂದು ಇತ್ತೆರ್
Anyone can participate in this event,ಈ ಕಾರ್ಯಕ್ರಮೊಡು ಏರ್ಲಾ ಪಾಲ್ ಪಡೆಯೆರೆ ಸಾಧ್ಯ ಉಂಡು
It wasnt so simple,ಉಂದು ಮಸ್ತ್ ಸರಳ ಅತ್ತ್
Take me with you,ಎಂಕ್ಲೆನ್ ನಿನ್ನೊಟ್ಟುಗು ಲೆತೊಂದು ಪೋಲೆ
The battery goes down,ಬ್ಯಾಟರಿ ಕಮ್ಮಿ ಆಪುಂಡು
The hall was full,ಸಭಾಂಗಣ ಪೂರ್ತಿ ಇತ್ತ್ಂಡ್
No one came to help us,ಎಂಕ್ಲೆಗ್ ಸಹಾಯ ಮಲ್ಪೆರೆ ಏರ್ಲಾ ಬತ್ತಿಜೆರ್
Then it started to grow,ಅಪಗ ಅವು ಬುಲೆಯೆರೆ ಸುರು ಆಂಡ್
They didnt believe it,ಅಕುಲು ನಂಬೊಂದಿಜ್ಜೆರ್
The feeling is different,ಭಾವನೆ ಬೇತೆ
This is an endless process,ಉಂದು ಒಂಜಿ ಅಂತ್ಯವಿಲ್ಲದ ಪ್ರಕ್ರಿಯೆ
I am the same that I was,ಯಾನ್ ಇತ್ತಿನಲೆಕನೆ ಉಲ್ಲೆ
Dont sit for too long,ಮಸ್ತ್ ಸಮಯ ಕುಲ್ಲೊಡ್ಚಿ
That is not real happiness,ಅವು ನಿಜವಾಯಿನ ಸುಖ ಅತ್ತ್
Thats not the problem,ಅವು ಸಮಸ್ಯೆ ಅತ್ತ್
Do not talk on the phone while driving,ಡ್ರೈವಿಂಗ್ ಮಲ್ಪುನಗ ಫೋನ್ ಡ್ ಪಾತೆರೊಡ್ಚಿ
Have you lost your Aadhaar card,ನಿಕುಲು ಆಧಾರ್ ಕಾರ್ಡ್ ನ್ ಕಳೆವೊಂದುಲ್ಲರ್
But no one was hiring,ಆಂಡ ಏರ್ಲಾ ಕೆಲಸೊಗು ದೆತೊನೊಂದಿಜ್ಜೆರ್
I was also interested in dance and acting,ಎಂಕ್ ನಲಿಕೆ ಬೊಕ್ಕ ಅಭಿನಯೊಡುಲಾ ಆಸಕ್ತಿ ಇತ್ತ್ಂಡ್
Id recommend this to everyone,ಯಾನ್ ಉಂದೆನ್ ಮಾತೆರೆಗ್ಲಾ ಶಿಫಾರಸ್ ಮಲ್ಪುವೆ
Change is needed,ಬದಲಾವಣೆ ಬೋಡು
They dont have space,ಅಕುಲೆಗ್ ಜಾಗ ಇಜ್ಜಿ
Who won finally in this battle,ಈ ಯುದ್ಧೊಡು ಅಕೇರಿಗ್ ಏರ್ ಗೆಂದಿಯೆರ್
Action will be taken soon,ಶೀಘ್ರೊಡು ಕ್ರಮ ದೆತೊನುವೆರ್
Congratulations to everyone involved,ಈ ಕೆಲಸೊಡು ಪಾಲ್ ಪಡೆಯಿನ ಮಾತೆರೆಗ್ಲಾ ಅಭಿನಂದನೆಲು
"Eat plenty of fresh vegetables, fruits, and whole grains","ತಾಜಾ ತರಕಾರಿಲು, ಫಲವಸ್ತುಲು, ಬೊಕ್ಕ ಧಾನ್ಯೊಲೆನ್ ಮಸ್ತ್ ತಿನ್ಲೆ"
He fainted when he saw her,ಅಲೆನ್ ತೂದು ಅಯೆ ಮುರ್ಕುದು ಪೋಯೆರ್
He was appointed by the President,ಅರೆನ್ ರಾಷ್ಟ್ರಪತಿ ನೇಮಕ ಮಲ್ತೆರ್
I have never played such a character,ಯಾನ್ ಏಪಲಾ ಇಂಚಿನ ಒಂಜಿ ಪಾತ್ರೊನ್ ಮಲ್ತ್ಜಿ
They have become good friends,ಅಕುಲು ಎಡ್ಡೆ ಸ್ನೇಹಿತೆರ್ ಆಯೆರ್
It is Indias first space film,ಉಂದು ಭಾರತದ ಸುರುತ ಬಾಹ್ಯಾಕಾಶ ಚಿತ್ರ
He started shouting,ಆರ್ ಕಿರುಚೆರೆ ಸುರು ಮಲ್ತೆರ್
We will find out in this article,ಈ ಲೇಖನೊಡು ನಮ ತೆರಿಯೊನುವ
Theres no doubt in that,ಅಯಿಟ್ ದಾಲ ಸಂಶಯ ಇಜ್ಜಿ
Try it you will ll like it,ಟ್ರೈ ಮಲ್ಪುಲೆ ನಿಕ್ಲೆಗ್ ಇಷ್ಟ ಆಪುಂಡು
This would help reduce costs,ಉಂದು ಖರ್ಚುಲೆನ್ ಕಮ್ಮಿ ಮಲ್ಪೆರೆ ಸಹಾಯ ಮಲ್ಪುಂಡು
Their children are with them,ಅಕ್ಲೆನ ಜೋಕುಲು ಅಕ್ಲೆನ ಒಟ್ಟುಗು ಉಲ್ಲೆರ್
What can we expect from them,ಅಕ್ಲೆಡ ನಮ ದಾದ ನಿರೀಕ್ಷೆ ಮಲ್ಪೊಲಿ
I feel tired,ಎಂಕ್ ಸುಸ್ತು ಆಪುಂಡು
She looks upset,ಅಲ್ ಬೇಜಾರು ಆದ್ ತೋಜುಂಡು
He runs fast,ಆರ್ ವೇಗವಾದ್ ಓಡುವೆರ್
They are waiting,ಅಕುಲು ಕಾತೊಂದುಲ್ಲೆರ್
We must leave,ನಮ ಪೋವೊಡು
You drive slowly,ಈರ್ ನಿಧಾನವಾದ್ ಡ್ರೈವ್ ಮಲ್ಪುಲೆ
I will call,ಯಾನ್ ಕಾಲ್ ಮಲ್ಪುವೆ
She is singing,ಅಲ್ ಪಾಡೊಂದುಲ್ಲೆರ್
He likes tea,ಆಯಗ್ ಚಾ ಇಷ್ಟ
They play outside,ಅಕುಲು ಪಿದಯಿ ಆಟ ಆಡುವೆರ್
We are ready,ಎಂಕುಲು ತಯಾರ್ ಉಲ್ಲ
You look happy,ಈರ್ ಸಂತೋಷೊಡು ತೋಜುಂಡು
I forgot that,ಯಾನ್ ಅವೆನ್ ಮರೆತೊಂದುಲ್ಲೆ
She is cooking,ಅಲ್ ಅಡುಗೆ ಮಲ್ತೊಂದುಲ್ಲೆರ್
He is reading,ಆರ್ ಓದುದುಲ್ಲೆರ್
They are dancing,ಅಕುಲು ನಲಿತೊಂದುಲ್ಲೆರ್
We should try,ನಮ ಪ್ರಯತ್ನ ಮಲ್ಪೊಡು
You did well,ಈರ್ ಎಡ್ಡೆ ಮಲ್ತರ್
I will write,ಯಾನ್ ಬರೆಪೆ
She looks tired,ಅಲ್ ದಣಿದ್ ತೋಜುಂಡು
He feels cold,ಆಯಗ್ ಚಳಿ ಆಪುಂಡು
They need help,ಅಕುಲೆಗ್ ಸಹಾಯ ಬೋಡು
We must go,ನಮ ಪೋವೊಡು
You were late,ಈರ್ ತಡ ಆಯರ್
I trust you,ಯಾನ್ ನಿನನ್ ನಂಬುವೆ
She is smiling,ಅಲ್ ನಕ್ಕೊಂದುಲ್ಲೆರ್
He walks slowly,ಆರ್ ನಿಧಾನವಾದ್ ನಡತೊಂದು ಪೋಪೆರ್
They are studying,ಅಕುಲು ಅಧ್ಯಯನ ಮಲ್ತೊಂದುಲ್ಲೆರ್
We should wait,ನಮ ನಿರೀಕ್ಷೆ ಮಲ್ಪೊಡು
You look worried,ಈರ್ ಚಿಂತೆಡ್ ಉಪ್ಪುನಂಚ ತೋಜುಂಡು
I am learning,ಯಾನ್ ಕಲ್ಪೊಂದುಲ್ಲೆ
She likes music,ಅಲೆಗ್ ಸಂಗೀತ ಇಷ್ಟ
He is laughing,ಆರ್ ನಗೊಂದುಲ್ಲೆರ್
They are shouting,ಅಕುಲು ಕಿರುಚೊಂದುಲ್ಲೆರ್
We are coming,ಎಂಕುಲು ಬರೊಂದುಲ್ಲ
You did nothing,ಈರ್ ದಾಲ ಮಲ್ತೊಂದಿಜ್ಜರ್
I was busy,ಯಾನ್ ಬಿಜಿ ಆದಿತ್ತೆ
She is strong,ಆಲ್ ಗಟ್ಟಿ ಉಲ್ಲೆ
He is clever,ಆರ್ ಬುದ್ಧಿವಂತೆರ್
They are ready,ಅಕುಲು ತಯಾರ್ ಉಲ್ಲೆರ್
We must decide,ನಮ ನಿರ್ಧರಿಸೊಡು
You stay here,ಈರ್ ಮುಲ್ಪ ಉಪ್ಪುಲೆ
I feel sleepy,ಎಂಕ್ ನಿದ್ರೆ ಬರ್ಪುಂಡು
She looks weak,ಅಲ್ ದುರ್ಬಲವಾದ್ ತೋಜುಂಡು
He is hungry,ಆಯಗ್ ಬಡವು ಉಂಡು
They look confused,ಅಕುಲು ಗೊಂದಲೊಡು ಉಲ್ಲೆರ್
We will try,ನಮ ಪ್ರಯತ್ನ ಮಲ್ಪುವೆ
You know this,ನಿಕ್ಲೆಗ್ ಉಂದು ಗೊತ್ತುಂಡು
I will sleep,ಯಾನ್ ನಿದ್ರೆ ಮಲ್ಪುವೆ
She is calm,ಅಲ್ ಶಾಂತವಾದ್ ಉಲ್ಲೆ
He feels better,ಆಯಗ್ ಎಡ್ಡೆ ಆಪುಂಡು
They need water,ಅಕ್ಲೆಗ್ ನೀರ್ ಬೋಡು
We are late,ಎಂಕುಲು ತಡ ಆತ
You stay quiet,ಈರ್ ಸುಮ್ಮನೆ ಉಪ್ಪುಲೆ
I can drive,ಎಂಕ್ ಡ್ರೈವ್ ಮಲ್ಪೊಲಿ
She sings well,ಅಲ್ ಎಡ್ಡೆ ಪಾಡುವೆರ್
He is tall,ಆರ್ ಎತ್ತರ ಉಲ್ಲೆರ್
They look fine,ಅವು ಎಡ್ಡೆ ತೋಜುಂಡು
We are done,ನಮ ಮುಗಿತ್ಂಡ್
You tell me,ಈರ್ ಎಂಕ್ ಪನ್ಲೆ
I am ready,ಯಾನ್ ತಯಾರ್ ಉಲ್ಲೆ
She is angry,ಅಲೆಗ್ ಕೋಪ ಉಂಡು
He is kind,ಆರ್ ಎಡ್ಡೆ
They play well,ಅಕುಲು ಎಡ್ಡೆ ಆಟ ಆಡುವೆರ್
We must hurry,ನಮ ಬೇಗ ಮಲ್ಪೊಡು
You are safe,ಈರ್ ಸುರಕ್ಷಿತವಾದ್ ಉಲ್ಲರ್
I saw him,ಯಾನ್ ಅರೆನ್ ತೂಯೆ
She knows me,ಅಲೆಗ್ ಯಾನ್  ಗೊತ್ತುಂಡು
He is busy,ಆರ್ ಬಿಜಿ ಉಲ್ಲೆರ್
They look happy,ಅಕುಲು ಸಂತೋಷೊಡು ತೋಜುಂಡು
We are strong,ನಮ ಗಟ್ಟಿ ಉಲ್ಲ
You believe me,ಈರ್ ಎಂಕ್ ನಂಬುಲೆ
I lost it,ಯಾನ್ ಅವೆನ್ ಕಳೆವೊಂಡೆ
She is nice,ಅಲ್ ಎಡ್ಡೆ
He runs daily,ಆರ್ ದಿನೊಲ ಓಡುವೆರ್
They are fine,ಅವು ಎಡ್ಡೆ ಉಂಡು
We are waiting,ಎಂಕುಲು ಕಾತೊಂದುಲ್ಲ
You look tired,ಈರ್ ದಣಿದ್ ತೋಜುಂಡು
I feel cold,ಎಂಕ್ ಚಳಿ ಆಪುಂಡು
She is ready,ಅಲ್ ರೆಡಿ ಆತ್ಂಡ್
He looks angry,ಆರ್ ಕೋಪೊಡು ಉಲ್ಲೆರ್
They work hard,ಅಕುಲು ಕಷ್ಟೊಡು ಬೇಲೆ ಮಲ್ಪುವೆರ್
We are safe,ಎಂಕುಲು ಸುರಕ್ಷಿತವಾದ್ ಉಲ್ಲ
You are kind,ಈರ್ ಎಡ್ಡೆ
I am fine,ಯಾನ್ ಹುಷಾರ್ ಉಲ್ಲೆ
She reads fast,ಅಲ್ ಬೇಗ ಓದುವೆರ್
He is sick,ಆರ್ ಕಾಯಿಲೆಡ್ ಉಲ್ಲೆರ್
They are late,ಅಕುಲು ತಡ ಆಯೆರ್
We should stop,ನಮ ಉಂತೋಡು
You help me,ಈರ್ ಎಂಕ್ ಸಹಾಯ ಮಲ್ಪುಲೆ
I will join,ಯಾನ್ ಸೇರುವೆ
She is weak,ಅಲ್ ದುರ್ಬಲೆ ಉಲ್ಲೆ
He looks smart,ಆರ್ ಸ್ಮಾರ್ಟ್ ಆದ್ ತೋಜುಂಡು
They are near,ಆರ್ ಕೈತಲ್ ಉಲ್ಲ
We are lost,ನಮ ಸೋತುದು ಪೋತ
You look fine,ಈರ್ ಎಡ್ಡೆ ತೋಜುವೆರ್
I feel hungry,ಎಂಕ್ ಬಡಾಪುಂಡು
She is brave,ಅಲ್ ಧೈರ್ಯಶಾಲಿ
He is honest,ಆರ್ ಪ್ರಾಮಾಣಿಕೆರ್
They seem busy,ಅಕುಲು ಬಿಜಿ ಆದ್ ತೋಜುವರ್
We should talk,ನಮ ಪಾತೆರೊಡು
You are wrong,ಈರ್ ತಪ್ಪು
I found it,ಯಾನ್ ಅವೆನ್ ಕಂಡು
She is silent,ಅಲ್ ಮೌನವಾದ್ ಉಲ್ಲೆ
He looks tired,ಆರ್ ಸುಸ್ತ್ ಆದ್ ತೋಜುಂಡು
They are moving,ಅಕುಲು ಚಲಿಸೊಂದುಲ್ಲೆರ್
We are sorry,ಎಂಕುಲು ಕ್ಷಮೆ ಕೋರ್ಪೆ
You wait here,ಈರ್ ಮುಲ್ಪ ಕಾತೊಂದು ಉಪ್ಪುಲೆ
I feel fresh,ಎಂಕ್ ತಾಜಾ ಆಪುಂಡು
She is bored,ಅಲೆಗ್ ಬೇಜಾರು ಆತ್ಂಡ್
He looks happy,ಆರ್ ಸಂತೋಷೊಡು ತೋಜುಂಡು
They are fast,ಅವು ವೇಗವಾಯಿನವು
We should meet,ನಮ ಭೇಟಿ ಆವೊಡು
You tell her,ಈರ್ ಅಲೆಗ್ ಪನ್ಲೆ
I will wait,ಯಾನ್ ನಿರೀಕ್ಷೆ ಮಲ್ಪುವೆ
She is quick,ಅಲ್ ತ್ವರಿತವಾದ್ ಉಪ್ಪುವೆರ್
He is strong,ಆರ್ ಗಟ್ಟಿಯಾದ್ ಉಲ್ಲೆರ್
They are good,ಅವು ಎಡ್ಡೆ
You listen well,ಈರ್ ಎಡ್ಡೆ ಕೇನ್ಲೆ
I am calm,ಯಾನ್ ಶಾಂತ ಉಲ್ಲೆ
She is caring,ಅಲ್ ಕಾಳಜಿ ಮಲ್ತೊಂದುಲ್ಲೆರ್
He is sharp,ಆರ್ ತೀಕ್ಷ್ಣ
They are kind,ಅಕುಲು ದಯಾಳುಲು
We are okay,ಎಂಕುಲು ಸರಿ ಉಲ್ಲ
You keep trying,ಈರ್ ಪ್ರಯತ್ನ ಮಲ್ತೊಂದು ಉಪ್ಪುಲೆ
I saw her,ಯಾನ್ ಅಲೆನ್ ತೂಯೆ
He is rich,ಆರ್ ಶ್ರೀಮಂತೆ
We should walk,ನಮ ನಡತೊಂದು ಪೋವೊಡು
You sit down,ಈರ್ ಕುಲ್ಲುಲೆ
I feel strong,ಎಂಕ್ ಗಟ್ಟಿ ಅನುಭವ ಆಪುಂಡು
She is smart,ಅಲ್ ಸ್ಮಾರ್ಟ್
He is funny,ಆರ್ ತಮಾಷೆ
They are quiet,ಅಕುಲು ಸುಮ್ಮನೆ ಉಪ್ಪುವೆರ್
We are inside,ಎಂಕುಲು ಉಲಯಿ ಉಲ್ಲ
You stay safe,ಈರ್ ಸುರಕ್ಷಿತವಾದ್ ಉಪ್ಪುಲೆ
I need rest,ಎಂಕ್ ವಿಶ್ರಾಂತಿ ಬೋಡು
She is helpful,ಆರ್ ಸಹಾಯ ಮಲ್ಪುವೆರ್
He is brave,ಆರ್ ಧೈರ್ಯಶಾಲಿ
They are calm,ಅಕುಲು ಶಾಂತವಾದ್ ಉಲ್ಲೆರ್
We must try,ನಮ ಪ್ರಯತ್ನ ಮಲ್ಪೊಡು
You are late,ಈರ್ ತಡ ಆಯರ್
I will stop,ಯಾನ್ ನಿಂತುವೆ
She is fair,ಅಲ್ ನ್ಯಾಯಯುತ
He is gentle,ಆರ್ ಮೃದು
They are weak,ಅಕುಲು ದುರ್ಬಲೆರ್
We are near,ಎಂಕುಲು ಸುತ್ತ ಉಲ್ಲ
You look upset,ಈರ್ ಬೇಜಾರು ಆದ್ ತೋಜುಂಡು
I feel sad,ಎಂಕ್ ಬೇಜಾರು ಆಪುಂಡು
She is lazy,ಅಲ್ ಸೋಮಾರಿ
He is sleepy,ಆರ್ ನಿದ್ರೆಡ್ ಉಲ್ಲೆರ್
They are smiling,ಅಕುಲು ನಕ್ಕೊಂದುಲ್ಲೆರ್
We should plan,ನಮ ಯೋಜನೆ ಮಲ್ಪೊಡು
You are correct,ಈರ್ ಸರಿ ಪನ್ಪರ್
I found her,ಯಾನ್ ಅಲೆನ್ ಕಂಡು
She is neat,ಆಲ್ ಚೆನ್ನೆ ಉಲ್ಲೆ
He is loyal,ಆರ್ ನಿಷ್ಠಾವಂತೆರ್
They are brave,ಅಕುಲು ಧೈರ್ಯಶಾಲಿಲು
We must move,ನಮ ನಡಪೊಡು
You sit here,ಈರ್ ಮುಲ್ಪ ಕುಲ್ಲುಲೆ
He is shy,ಆರ್ ನಾಚಿಕೆದಕುಲು
They are loud,ಅವು ಜೋರುಡು ಉಪ್ಪುಂಡು
We are fine,ಎಂಕುಲು ಎಡ್ಡೆ ಉಲ್ಲ
You stay calm,ಈರ್ ಶಾಂತವಾದ್ ಉಪ್ಪುಲೆ
She is kind,ಅಲ್ ದಯಾಳು
He is slow,ಆರ್ ನಿಧಾನ
They are smart,ಅಕುಲು ಬುದ್ಧಿವಂತೆರ್
We should play,ನಮ ಆಟ ಆಡೊಡು
You come soon,ಈರ್ ಬೇಗ ಬಲೆ
I will go,ಯಾನ್ ಪೋಪೆ
She is tall,ಆಲ್ ಎತ್ತರ ಉಲ್ಲೆ
He is short,ಆರ್ ಎಲ್ಯ ಉಲ್ಲೆರ್
They are fun,ಅವು ಮಜಾ ಆಪುಂಡು
We must work,ನಮ ಬೇಲೆ ಮಲ್ಪೊಡು
You are sweet,ಈರ್ ಸಿಹಿ
I am fast,ಯಾನ್ ವೇಗೊಡು ಉಲ್ಲೆ
She is rich,ಆಲ್ ಶ್ರೀಮಂತೆರ್
He is poor,ಆರ್ ಬಡವೆರ್
They are strong,ಅವು ಗಟ್ಟಿ ಉಪ್ಪುಂಡು .
We should share,ನಮ ಪಾಲ್ ಮಲ್ಪೊಡು
You learn well,ಈರ್ ಎಡ್ಡೆ ಕಲ್ಪುಲೆ
I love this,ಎಂಕ್ ಉಂದು ಇಷ್ಟ
She is good,ಅಲ್ ಎಡ್ಡೆ
He is rude,ಆರ್ ಅಸಭ್ಯ
They are clean,ಅವು ಸ್ವಚ್ಛವಾದುಂಡು
You wait outside,ಈರ್ ಪಿದಯಿ ನಿರೀಕ್ಷೆ ಮಲ್ಪುಲೆ
I am slow,ಯಾನ್ ನಿಧಾನ ಉಲ್ಲೆ
They are cool,ಅವು ತಂಪು
We must rest,ನಮ ವಿಶ್ರಾಂತಿ ದೆತೊನೊಡು
You are here,ಈರ್ ಮುಲ್ಪ ಉಲ್ಲರ್
I feel nice,ಎಂಕ್ ಎಡ್ಡೆ ಅನಿಸೊಂದುಂಡು
She is sweet,ಅಲ್ ಸಿಹಿ
He is caring,ಆರ್ ಕಾಳಜಿ ಮಲ್ಪುವೆರ್
They are tired,ಅಕುಲು ಸುಸ್ತಾದ್ ಉಲ್ಲೆರ್
We are hungry,ಎಂಕ್ಲೆಗ್ ಬಂಜಿ ಉಂಡು
You look great,ಈರ್ ಮಸ್ತ್ ಎಡ್ಡೆ ತೋಜುಂಡು
I will run,ಯಾನ್ ಓಡೊಡು
She is silly,ಅಲ್ ಮೂರ್ಖೆರ್
He is angry,ಆರ್ ಕೋಪೊಡು ಉಲ್ಲೆರ್
They are cute,ಅವು ಮುದ್ದು
You help her,ಈರ್ ಅಲೆಗ್ ಸಹಾಯ ಮಲ್ಪುಲೆ
I need food,ಯೆಂಕ್ ವಣಸ್ ಬೋಡು
She is happy,ಆ ಲ್ ಖುಷಿಟ್ ಉಲ್ಲೆ
You stay near,ಈರ್ ಸಮೀಪ ಉಪ್ಪುಲೆ
I am happy,ಯಾನ್ ಸಂತೋಷೊಡು ಉಲ್ಲೆ
She is busy,ಅಲೆಗ್ ಬಿಜಿ ಉಂಡು
They are helpful,ಅವು ಸಹಾಯ ಆಪುಂಡು
You did great,ಈರ್ ಮಸ್ತ್ ಎಡ್ಡೆ ಮಲ್ತರ್
She is fine,ಅಲೆಗ್ ಎಡ್ಡೆ ಉಂಡು
He is smiling,ಆರ್ ನಗೊಂದುಲ್ಲೆರ್
They are happy,ಅಕುಲು ಖುಷಿಟ್ ಉಲ್ಲೆರ್
You are right,ಈರ್ ಸರಿ ಪನ್ಪರ್
I am angry,ಎಂಕ್ ಕೋಪ ಉಂಡು
She is fast,ಅಲ್ ವೇಗವಾದ್ ಉಲ್ಲೆ
He is bored,ಆಯಗ್ ಬೇಜಾರು ಆತ್ಂಡ್
They are funny,ಅವು ತಮಾಷೆ
